ID;GameTitle;Genre;Developer;ReleaseDate
1;Overwatch;First-person shooter;Blizzard Entertainment;24.05.2016
2;The Witcher 3: Wild Hunt;Action/RPG;CD Projekt Red;19.05.2015
3;Minecraft;Sandbox;Mojang Studios;18.11.2011
4;Counter-Strike: Global Offensive;First-person shooter;Valve Corporation;21.08.2012
5;World of Warcraft;MMORPG;Blizzard Entertainment;23.11.2004
6;League of Legends;MOBA;Riot Games;27.10.2009
7;The Elder Scrolls V: Skyrim;Action/RPG;Bethesda Game Studios;11.11.2011
